"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Cct2",-1.10454493339563,25.6890575086538,-1.44778869184242,0.195361745610277,0.672370007808703,-4.5610761576947
"Serpina6",-0.539205476960227,31.1371566534708,-1.43532774143174,0.198738702857499,0.677692804194173,-4.56210394089715
"X.7",-0.455674109618421,26.3957459973387,-1.4300312969982,0.200190126178424,0.677692804194173,-4.56254066604633
"Serpina3k",-0.473738638865328,33.756610834581,-1.42209589225553,0.202382802307921,0.679545506936354,-4.56319482098358
"Pon1",-0.37296032997569,31.4903407950682,-1.39827585639602,0.20909632481983,0.685033558101269,-4.56515692254926
"Apoc4",0.932074450742508,29.197636461079,1.38905071707701,0.21175007345109,0.685033558101269,-4.56591608055389
"Mmrn1",-0.329716841011756,28.6352259857462,-1.38904042322473,0.211753051537872,0.685033558101269,-4.56591692739701
"C1r",0.338563653543012,33.1532487918749,1.38649092761632,0.212491803773958,0.685033558101269,-4.56612664767158
"X.69",-0.573852153246722,30.4152574487574,-1.38026082974281,0.214306846583386,0.685033558101269,-4.56663897003093
"C4a.1",0.45033410460314,29.9809196396634,1.37889612902295,0.21470629036969,0.685033558101269,-4.56675116215683
"C2",0.311279482414569,28.5219192378369,1.3578926585389,0.220938895413185,0.685033558101269,-4.5684762684939
"Masp1",0.731999277519936,29.0656002264011,1.35244483065961,0.222581750085499,0.685033558101269,-4.5689231911375
"X.83",-0.448961609845895,30.6141408362767,-1.35233870647652,0.222613861219231,0.685033558101269,-4.56893189488802
"Ces1c",0.442469767929548,31.6543206705915,1.34845633093946,0.223791442466652,0.685033558101269,-4.56925024385647
"F13b",-0.383910903257991,28.7486306026058,-1.34824686273683,0.223855135119033,0.685033558101269,-4.56926741639851
"Lpl",1.71484261198964,25.3008998052313,1.34802905416233,0.223921380977412,0.685033558101269,-4.56928527230934
"Anxa11",-0.600244764110361,27.136325872012,-1.32244274118155,0.23182598754247,0.704000976875294,-4.57137988731141
"X.68",-0.767541848873964,27.2358057031017,-1.30899425768186,0.236079233629719,0.708180702272586,-4.57247826803343
"LOC100361952",-0.593527289527795,28.4946829284689,-1.30726280757217,0.236631808507547,0.708180702272586,-4.57261953999772
"Kng1l1.1",-0.357989564091085,32.4796187118641,-1.29930421249939,0.239186419606041,0.708186836358393,-4.57326846071925
"Ighv7.1",-0.500330624960256,27.5945768631399,-1.29658955187749,0.240063334358777,0.708186836358393,-4.57348963880389
"Fgg",0.893355944507803,30.8656618475989,1.28523933279511,0.243760488509064,0.713993487618748,-4.57441343887834
"X.92",0.429077888197039,28.808436305083,1.27920202751556,0.245747332544427,0.714198778630479,-4.57490415972927
"X.74",-1.51685415678342,28.5303684013539,-1.27250901580826,0.24796652835978,0.714198778630479,-4.57544761859493
"masp1.3",-0.404062821191022,26.8526148726654,-1.26558859652186,0.250279524216554,0.714198778630479,-4.57600890261169
"Apob",0.89361046796537,31.232128370102,1.26214657490575,0.251436936819375,0.714198778630479,-4.57628781992278
"Vnn3",0.375872537098044,25.8410931940752,1.25906514717464,0.25247705007276,0.714198778630479,-4.57653737333723
"Calm2.Calm3",0.474050947687811,24.8362936815115,1.21783150076797,0.26675848706915,0.734385077356007,-4.57986258854515
"C4a",0.645611576915112,27.3231139023253,1.21701922487983,0.26704668080858,0.734385077356007,-4.57992780971978
"Kng1",-0.332868675765624,31.2493732397059,-1.21636895833639,0.267277586736614,0.734385077356007,-4.57998001405982
"LOC100911597.Myh9",-1.04222020588616,28.161797416909,-1.21431189685558,0.268009167077345,0.734385077356007,-4.58014510851405
"Serpina3m",-0.346517269712962,28.4138490962681,-1.21074758910452,0.269280858888639,0.734385077356007,-4.58043099128247
"Serpinf1",-0.27293705805856,30.5094168705746,-1.20795127910147,0.270282159220613,0.734385077356007,-4.58065511404944
"Ugp2",-0.286939286671227,26.0208986140389,-1.20263150948252,0.272195863289832,0.734750925089548,-4.58108109323536
"Cct4",-0.532536110521594,25.3060697618939,-1.19408000462793,0.27529640820779,0.738294912920892,-4.58176473546727
"Cfh",0.268732157112346,33.5225949443125,1.18417263420441,0.278926157425579,0.740478080541167,-4.58255499292889
"X.52",-0.886448509210695,30.1713664343218,-1.175506103397,0.282134578905426,0.740478080541167,-4.58324465392316
"H6pd",0.537348303616447,25.0384355280467,1.17363924022515,0.282829788371557,0.740478080541167,-4.583393010983
"Azgp1",-0.291883362596923,29.5750024865778,-1.17242653137954,0.283282171248194,0.740478080541167,-4.58348934411857
"Mbl1",-0.587686959490295,27.8529715083294,-1.14720736984389,0.292829194065502,0.758770737887359,-4.58548542222653
"X.36",-0.303266485782789,30.9998388098514,-1.13888582231931,0.296038153224712,0.758770737887359,-4.58614090745997
"F13a1",-0.254167797476061,29.8247594381271,-1.13695091749332,0.296788494610319,0.758770737887359,-4.58629308523565
"X.79",0.392618657966775,27.7605145301407,1.13478784229264,0.297629199849279,0.758770737887359,-4.58646310234217
"Ppp1cc.Ppp1cb.Ppp1ca",1.84978433967568,24.4466601467593,1.12733685814145,0.300540346183389,0.761422122278169,-4.58704788010516
"Ctsq.LOC100364523.Ctsql2",-0.510201568459365,29.6002708992546,-1.11807391110346,0.30419246097714,0.761422122278169,-4.58777295243466
"Myl9.Myl12b.Rlc.a",-0.564308139936259,25.7867842909366,-1.11283962326024,0.306272434748363,0.761422122278169,-4.58818171413475
"Psma4",0.374996142089106,27.4524789152793,1.10969732638205,0.307526754678916,0.761422122278169,-4.58842676624452
"X.23",-0.693521569008226,25.9720037792142,-1.09985901588187,0.311481435457018,0.761422122278169,-4.589192328005
