"","P17410_B_10","P17410_B_25","P17410_B_28","P17410_B_29","P17410_B_8","P17410_B_9"
"X.38",25.6366894435832,29.044372939279,28.1188711495646,27.1762653871287,28.7865304287164,25.4684607246777
"Masp2",30.861122885057,30.6840328479481,30.4766295648149,30.802010353892,31.1483144275195,30.5617446697103
"Myl9.Myl12b.Rlc.a",NA,26.9111366694194,NA,25.1963676940247,NA,25.412156839558
"Colec11",NA,NA,26.239598092251,25.6837016365293,25.6433663000196,24.4313506894715
"Sri",27.4124799153719,27.8726161756648,27.662004740363,28.1159480555371,26.709119791612,26.3951910261761
"Cfp",30.767224260164,30.9519235290187,30.3779281996826,30.4953368477762,30.8443082406294,30.5449897174708
"Cpn2",30.9371931185181,31.4049699207906,31.412257808522,30.9254268788139,30.9082758811711,31.5432850302681
"Proz",27.7493197196632,28.1012931825391,28.0249068988567,27.5924914832887,27.5158546481962,27.9891271478811
"F13b",28.5658714109867,29.3473525828242,28.9769733141017,28.4974322657784,28.6790902418646,28.425063800079
"Cd9",29.1076918404721,30.2277965222153,29.4676214695644,29.0807313806257,28.5972242603133,28.9668625567969
"Fermt3",26.9993793531138,28.0091854410642,29.1989405005894,27.6567643865508,27.5198334636317,26.7192099838075
"Itih1",32.1623696029525,32.2371743589096,32.3766610329956,32.2832532084375,31.9729539388103,32.2669030910863
"Dpt",25.396498170454,25.8782760392775,25.5924914832887,25.9169096021671,25.7769833472593,25.8602705082602
"Rbp4",29.2311658338583,28.9272509364155,29.7354575072716,29.6178940015329,28.7755210173345,29.7885698160342
"Slc44a2",26.703322123585,25.7032693105,25.7625843941372,25.1226179108021,NA,25.7494220257629
